<p>집계 기간 : 2025/02/08 00:00:00 ~ 2025/02/14 23:59:00</p>
    <p>(글+3점, 댓글+1점)</p>
    <p>총 글 수: 10440개, 총 댓글 수: 32314개</p>
    <p>1등 : 아일러브릿(remind2852) | 총 점: 3464점 | 갤 지분(총점): 5.44% | 글 444개(3위), 댓글 2132개(1위)</p>
    <hr><p>116등 : ㅇㅇ(39.117) | 총 점: 3점 | 갤 지분(총점): 0.00% | 글 1개(80위), 댓글 0개(96위)</p>
    <hr><p>116등 : 모닝커피(182.217) | 총 점: 3점 | 갤 지분(총점): 0.00% | 글 1개(80위), 댓글 0개(96위)</p>
    <hr><p>116등 : 릿갤러(59.20) | 총 점: 3점 | 갤 지분(총점): 0.00% | 글 1개(80위), 댓글 0개(96위)</p>
    <hr><p>116등 : 릿갤러(223.62) | 총 점: 3점 | 갤 지분(총점): 0.00% | 글 1개(80위), 댓글 0개(96위)</p>
    <hr><p>116등 : ㅇㅇ(112.161) | 총 점: 3점 | 갤 지분(총점): 0.00% | 글 1개(80위), 댓글 0개(96위)</p>
    <hr><p>116등 : 릿갤러(58.231) | 총 점: 3점 | 갤 지분(총점): 0.00% | 글 1개(80위), 댓글 0개(96위)</p>
    <hr><p>116등 : 릿갤러(15.204) | 총 점: 3점 | 갤 지분(총점): 0.00% | 글 1개(80위), 댓글 0개(96위)</p>
    <hr><p>116등 : 릿갤러(175.223) | 총 점: 3점 | 갤 지분(총점): 0.00% | 글 1개(80위), 댓글 0개(96위)</p>
    <hr><p>116등 : 릿갤러(221.164) | 총 점: 3점 | 갤 지분(총점): 0.00% | 글 1개(80위), 댓글 0개(96위)</p>
    <hr><p>116등 : 릿갤러(223.33) | 총 점: 3점 | 갤 지분(총점): 0.00% | 글 1개(80위), 댓글 0개(96위)</p>
    <hr><p>116등 : 릿갤러(110.70) | 총 점: 3점 | 갤 지분(총점): 0.00% | 글 1개(80위), 댓글 0개(96위)</p>
    <hr><p>116등 : 릿갤러(223.38) | 총 점: 3점 | 갤 지분(총점): 0.00% | 글 1개(80위), 댓글 0개(96위)</p>
    <hr><p>116등 : 민주공화국.(growth4891) | 총 점: 3점 | 갤 지분(총점): 0.00% | 글 0개(81위), 댓글 3개(93위)</p>
    <hr><p>116등 : ㅇㅇ(1.253) | 총 점: 3점 | 갤 지분(총점): 0.00% | 글 1개(80위), 댓글 0개(96위)</p>
    <hr><p>116등 : 릿갤러(49.170) | 총 점: 3점 | 갤 지분(총점): 0.00% | 글 1개(80위), 댓글 0개(96위)</p>
    <hr><p>116등 : ㅇㅇ(27.120) | 총 점: 3점 | 갤 지분(총점): 0.00% | 글 1개(80위), 댓글 0개(96위)</p>
    <hr><p>116등 : 릿갤러(58.227) | 총 점: 3점 | 갤 지분(총점): 0.00% | 글 1개(80위), 댓글 0개(96위)</p>
    <hr><p>116등 : (violet2165) | 총 점: 3점 | 갤 지분(총점): 0.00% | 글 1개(80위), 댓글 0개(96위)</p>
    <hr><p>116등 : ㅇㅇ(106.102) | 총 점: 3점 | 갤 지분(총점): 0.00% | 글 1개(80위), 댓글 0개(96위)</p>
    <hr><p>116등 : 릿갤러(58.234) | 총 점: 3점 | 갤 지분(총점): 0.00% | 글 1개(80위), 댓글 0개(96위)</p>
    <hr><p>116등 : 릿갤러(220.123) | 총 점: 3점 | 갤 지분(총점): 0.00% | 글 1개(80위), 댓글 0개(96위)</p>
    <hr><p>116등 : ㅇㅇ(220.81) | 총 점: 3점 | 갤 지분(총점): 0.00% | 글 1개(80위), 댓글 0개(96위)</p>
    <hr><p>117등 : 신호는Greenlight(brick0115) | 총 점: 2점 | 갤 지분(총점): 0.00% | 글 0개(81위), 댓글 2개(94위)</p>
    <hr><p>117등 : ㅇㅇ(211.234) | 총 점: 2점 | 갤 지분(총점): 0.00% | 글 0개(81위), 댓글 2개(94위)</p>
    <hr><p>117등 : 뽀용뽀용이워니(pattern1099) | 총 점: 2점 | 갤 지분(총점): 0.00% | 글 0개(81위), 댓글 2개(94위)</p>
    <hr><p>117등 : MidnightFiction(tidy4844) | 총 점: 2점 | 갤 지분(총점): 0.00% | 글 0개(81위), 댓글 2개(94위)</p>
    <hr><p>117등 : 나카무라 료(222.119) | 총 점: 2점 | 갤 지분(총점): 0.00% | 글 0개(81위), 댓글 2개(94위)</p>
    <hr><p>118등 : 직캠러(221.146) | 총 점: 1점 | 갤 지분(총점): 0.00% | 글 0개(81위), 댓글 1개(95위)</p>
    <hr><p>118등 : ㅇㅇ(125.132) | 총 점: 1점 | 갤 지분(총점): 0.00% | 글 0개(81위), 댓글 1개(95위)</p>
    <hr><p>118등 : ㅇㅇ(sailing7482) | 총 점: 1점 | 갤 지분(총점): 0.00% | 글 0개(81위), 댓글 1개(95위)</p>
    <hr><p>118등 : ㅇㅇ(124.51) | 총 점: 1점 | 갤 지분(총점): 0.00% | 글 0개(81위), 댓글 1개(95위)</p>
    <hr><p>118등 : ㅇㅇ(unit7580) | 총 점: 1점 | 갤 지분(총점): 0.00% | 글 0개(81위), 댓글 1개(95위)</p>
    <hr><p>118등 : 오리땡땡(palm2347) | 총 점: 1점 | 갤 지분(총점): 0.00% | 글 0개(81위), 댓글 1개(95위)</p>
    <hr><p>118등 : 아일릿갤러리(history9736) | 총 점: 1점 | 갤 지분(총점): 0.00% | 글 0개(81위), 댓글 1개(95위)</p>
    <hr><p>118등 : LEGACYBRAVE(qkq8840) | 총 점: 1점 | 갤 지분(총점): 0.00% | 글 0개(81위), 댓글 1개(95위)</p>
    <hr><p>118등 : ㅇㅇ(211.250) | 총 점: 1점 | 갤 지분(총점): 0.00% | 글 0개(81위), 댓글 1개(95위)</p>
    <hr><p>118등 : ㅇㅇ(218.151) | 총 점: 1점 | 갤 지분(총점): 0.00% | 글 0개(81위), 댓글 1개(95위)</p>
    <hr><p>118등 : ㅇㅇ(59.23) | 총 점: 1점 | 갤 지분(총점): 0.00% | 글 0개(81위), 댓글 1개(95위)</p>
    <hr><p>118등 : music(sugaholic) | 총 점: 1점 | 갤 지분(총점): 0.00% | 글 0개(81위), 댓글 1개(95위)</p>
    <hr><p>118등 : ㅇㅇ(180.70) | 총 점: 1점 | 갤 지분(총점): 0.00% | 글 0개(81위), 댓글 1개(95위)</p>
    <hr><p>118등 : ㅇㅇ(112.168) | 총 점: 1점 | 갤 지분(총점): 0.00% | 글 0개(81위), 댓글 1개(95위)</p>
    <hr><p>118등 : 밍밍이(cable8679) | 총 점: 1점 | 갤 지분(총점): 0.00% | 글 0개(81위), 댓글 1개(95위)</p>
    <hr><p>118등 : ㅇㅇ(1.225) | 총 점: 1점 | 갤 지분(총점): 0.00% | 글 0개(81위), 댓글 1개(95위)</p>
    <hr><p>118등 : 통새우버거(tune5868) | 총 점: 1점 | 갤 지분(총점): 0.00% | 글 0개(81위), 댓글 1개(95위)</p>
    <hr><p>118등 : 릿며들어(tissottissot) | 총 점: 1점 | 갤 지분(총점): 0.00% | 글 0개(81위), 댓글 1개(95위)</p>
    <hr><p>118등 : 빵민쥬(whom8627) | 총 점: 1점 | 갤 지분(총점): 0.00% | 글 0개(81위), 댓글 1개(95위)</p>
    <hr><p>118등 : ㅇㅇ(adg424) | 총 점: 1점 | 갤 지분(총점): 0.00% | 글 0개(81위), 댓글 1개(95위)</p>
    <hr><p>118등 : ㅇㅇ(116.44) | 총 점: 1점 | 갤 지분(총점): 0.00% | 글 0개(81위), 댓글 1개(95위)</p>
    <hr>
